minute,bid,ask
1746009180,94904.15737704918,94905.16393442624
1746009240,94903.1899641577,94904.20071684588
1746009300,94885.91489361702,94887.24822695035
1746009360,94904.66842105263,94905.97894736842
1746009420,94946.168,94947.52
1746009480,94969.02459016393,94970.30327868853
1746009540,94973.8375,94974.9625
1746009600,94964.43016759776,94965.49162011173
1746009660,94962.1726618705,94963.25179856115
1746009720,94959.07058823529,94960.24117647059
1746009780,94976.29605263157,94977.73684210527
1746009840,94973.70186335404,94975.0745341615
1746009900,94966.98159509203,94968.04907975461
1746009960,94965.0,94966.0
1746010020,94965.0,94966.0
1746010080,94965.0,94966.0
1746010140,94984.16826923077,94985.50480769231
1746010200,94994.89696969697,94995.90303030303
1746010260,94991.94485294117,94993.06617647059
1746010320,95001.0,95002.0
1746010380,94996.43478260869,94997.45893719807
1746010440,94996.82089552238,94997.89552238806
1746010500,95001.0,95002.0
1746010560,94961.01908396947,94962.57633587786
1746010620,94931.11914893617,94932.53191489361
1746010680,94916.0,94917.0
1746010740,94935.15129151291,94936.37638376384
1746010800,94957.38285714286,94958.49142857143
1746010860,94958.0,94959.0
1746010920,94964.04484304933,94965.06278026906
1746010980,94968.85628742515,94969.96407185629
1746011040,94973.74157303371,94974.77528089887
1746011100,94962.51298701299,94963.56493506493
1746011160,94956.0,94957.0
1746497280,94184.08552631579,94185.59868421052
1746497340,94199.0,94200.0
1746497400,94190.66384180791,94191.71468926554
1746497460,94212.7606557377,94213.93114754098
1746497520,94208.93800539084,94210.06469002695
1746497580,94168.93464052287,94169.93790849674
1746497640,94176.49117647059,94177.67352941177
1746497700,94186.31164383562,94187.3595890411
1746497760,94165.90066225166,94166.96026490066
1746497820,94154.31835205993,94155.32958801498
1746497880,94137.81016949152,94139.11186440678
1746497940,94131.18333333333,94132.38055555556
1746498000,94068.17882352941,94069.52705882353
1746498060,94033.68235294118,94034.88705882353
1746498120,94023.73188405797,94024.79710144928
1746498180,94028.90419161676,94029.99700598803
1746498240,94039.59942363112,94040.78962536024
1746498300,94027.67816091955,94028.95977011495
1746498360,94012.61128526645,94013.64890282131
1746498420,94026.5120967742,94027.7258064516
1746498480,94070.893129771,94072.21882951654
1746498540,94074.0378548896,94075.214511041
1746498600,94027.38123167155,94028.60997067449
