minute,bid,ask
1740799440,84961.96108786612,84962.06108786592
1740799500,84969.74520547966,84969.8493150685
1740799560,84989.79637826969,84989.90120724337
1740799620,84952.50316622674,84952.60316622684
1740799680,84953.8614512471,84953.96394557829
1740799740,84955.99354838705,84956.09423963142
1740799800,85008.634141791,85008.73712686558
1740799860,85104.35862708715,85104.4601113174
1740799920,85110.8425661916,85110.9539714868
1740799980,85129.39938016521,85129.50082644612
1740800040,85204.9966292134,85205.10262172282
1740800100,85267.92222222239,85268.02333333332
1740800160,85256.47410207953,85256.57523629486
1740800220,85264.228433269,85264.3377176016
1740800280,85313.91012891343,85314.01418047884
1740800340,85440.07330895802,85440.17349177324
1740800400,85407.8680656933,85407.97737226292
1740800460,85361.37214953279,85361.47233644863
1740800520,85321.82057613172,85321.92057613173
1740800580,85236.67123552109,85236.7723938222
1740800640,85155.74024144879,85155.8402414486
1740800700,85142.08736616703,85142.18758029961
1740800760,85152.95379746854,85153.05421940931
1740800820,85193.75648535561,85193.85753138071
1740800880,85249.66915113866,85249.76956521737
1740800940,85267.88154506442,85267.9845493561
1740801000,85275.07302631595,85275.17324561403
1740801060,85269.54203980077,85269.64278606989
1740801120,85375.36057494869,85375.4648870636
1740801180,85392.14889336014,85392.26237424542
1740801240,85411.29045725644,85411.39045725646
1740801300,85385.76884210526,85385.87747368425
1740801360,85335.0256,85335.126
1740801420,85285.07494199545,85285.17795823651
1740801480,85267.0424050632,85267.14578059077
1740801540,85259.97297297303,85260.0729729731
1740801600,85340.70142276419,85340.80264227655
1740801660,85322.19903660886,85322.30211946044
1740801720,85327.04626865654,85327.14925373148
1740801780,85357.49196787142,85357.59317269079
1740801840,85430.45414937769,85430.55663900415
1740801900,85429.59874213835,85429.6987421384
1740801960,85386.4503144654,85386.55031446533
1740802020,85406.95787234038,85407.05808510642
1740802080,85468.68435374137,85468.78616780024
1740802140,85507.84564796915,85507.95145067699
1740802200,85577.62346368715,85577.73016759775
1740802260,85712.64275741723,85712.79267015705
1740802320,85834.64683098592,85834.7970070422
1740802380,85816.92744755246,85817.03321678327
1740802440,85865.94320987667,85866.0485008819
1740802500,85813.74747826089,85813.86660869562
1740802560,85780.03538175047,85780.13575418995
1740802620,85796.19171270714,85796.29208103112
1740802680,85787.96303901437,85788.06303901429
1740802740,85787.91735074631,85788.01753731347
1740802800,85884.1157608695,85884.21721014498
1740802860,85926.98485981296,85927.08654205606
1740802920,85911.96851145053,85912.06870229005
1740802980,85911.57199999996,85911.67280000004
1740803040,85881.94493927126,85882.04493927112
1740803100,85823.06839186694,85823.1763401108
1740803160,85822.25739644987,85822.35798816569
1740803220,85899.54923076916,85899.65423076945
1740803280,85901.50651260497,85901.60651260505
1740803340,85897.23833333336,85897.33958333339
1740803400,85920.02942345905,85920.13061630228
1740803460,85924.85454545464,85924.95454545457
1740803520,86041.39446366782,86041.55034602083
1740803580,85894.30706896553,85894.40741379306
1740803640,85874.20489130453,85874.30724637673
1740803700,85999.48017857135,85999.58196428571
1740803760,86043.2191564148,86043.31915641477
1740803820,86256.12111486487,86256.24712837828
1740803880,86395.167785235,86395.28506711405
1740803940,86425.31373913065,86425.41391304358
1740804000,86427.50547008567,86427.60598290614
1740804060,86438.16304728517,86438.26567425604
1740804120,86446.043470483,86446.14400715537
1740804180,86495.05417406744,86495.15417406749
1740804240,86520.55090579709,86520.65199275358
1740804300,86522.11741472165,86522.21741472137
1740804360,86474.21403508782,86474.32824561403
1740804420,86271.2590051458,86271.36140651796
1740804480,86288.61026548673,86288.71044247774
1740804540,86232.10381282493,86232.209185442
1740804600,86202.74379432632,86202.84645390068
1740804660,86149.05511669668,86149.15727109514
1740804720,86045.32779720296,86045.42972027963
1740804780,86068.51757812519,86068.61757812506
1740804840,86134.32773437488,86134.42773437491
1740804900,86193.67124060151,86193.77349624045
1740804960,86158.93891129016,86159.03991935505
1740805020,86219.59258517037,86219.6967935871
1740805080,86228.57617107945,86228.67841140516
1740805140,86218.3962962964,86218.49650205749
1740805200,86163.51480804387,86163.6173674587
1740805260,86152.02030075181,86152.12030075173
1740805320,86084.53996247651,86084.63996247634
1740805380,86090.30945945958,86090.41003860999
1740805440,86090.53031674195,86090.63031674188
1740805500,86072.59317269074,86072.69437750994
1740805560,86081.84979757079,86081.94979757088
1740805620,86101.96854838735,86102.06874999998
1740805680,86178.86870078731,86178.97795275607
1740805740,86249.85547169806,86249.95754716954
1740805800,86137.82452107278,86137.9381226054
1740805860,86081.31715867168,86081.41845018459
1740805920,86058.45405940594,86058.5542574258
1740805980,86018.40299145288,86018.50705128195
1740806040,85953.21042471052,85953.36061776063
1740806100,85904.3928832118,85904.49288321153
1740806160,85936.59716446114,85936.6975425332
1740806220,85951.70668058442,85951.80688935291
1740806280,85963.43805496818,85963.53805496817
1740806340,85932.01946564892,85932.12328244284
1740806400,85881.81375770044,85881.91375770049
1740806460,85813.9904936014,85814.09890310797
1740806520,85774.52422480636,85774.62422480612
1740806580,85748.8134724856,85748.91347248542
1740806640,85729.97411545624,85730.07709497206
1740806700,85803.10606060599,85803.20871212117
1740806760,85813.48185255175,85813.58185255226
1740806820,85835.65324427478,85835.75629770986
1740806880,85772.1443548389,85772.24455645186
1740806940,85783.91359649142,85784.01359649123
1740807000,85759.97598425196,85760.07598425212
1740807060,85739.22119999968,85739.32120000036
1740807120,85723.1722814499,85723.27249466935
1740807180,85716.38999999998,85716.48999999998
1740807240,85700.0,85700.09999999979
1740807300,85693.61099137944,85693.71400862059
1740807360,85702.63656565678,85702.73656565664
1740807420,85757.24147217254,85757.34165170554
1740807480,85814.57355072485,85814.6766304349
1740807540,85854.22484969905,85854.32484969957
1740807600,85767.89288321156,85767.9928832115
1740807660,85736.05596153821,85736.16038461542
1740807720,85702.71240457986,85702.81240457988
1740807780,85701.66494845356,85701.76494845373
1740807840,85707.66050228332,85707.7680365298
1740807900,85697.0773359839,85697.17733598388
1740807960,85691.44654088051,85691.54654088055
