"symbol","exchange","valid_from","multiplier","swap_funding_period","swap_funding_base_rate_bps","swap_funding_floor","swap_funding_cap","swap_funding_payment_frequency","swap_funding_clamp_range_high","swap_funding_clamp_range_low","swap_impact_notional"
PSWP-BERA/USDT,hype,2025-02-06 22:50:37.256439000 +0800,1,,,,,,,,
PSWP-BERA/USDT,hype,2025-02-06 22:50:37.497726000 +0800,1,,,,,,,,
PSWP-BERA/USDT,hype,2025-02-06 22:56:00.384123000 +0800,1,,,,,,,,
PSWP-BERA/USDT,hype,2025-02-06 22:56:14.129098000 +0800,1,,,,,,,,
PSWP-BERA/USDT,hype,2025-02-06 22:59:22.322009000 +0800,1,,,,,,,,
PSWP-BERA/USDT,hype,2025-02-06 22:59:22.322009000 +0800,1,,,,,,,,
PSWP-BERA/USDT,binf,2025-02-06 23:00:20.816209000 +0800,1,,,,,,,,
PSWP-BERA/USDT,binf,2025-02-06 23:00:20.816209000 +0800,1,,,,,,,,
PSWP-BERA/USDT,hype,2025-02-06 23:00:33.954162000 +0800,1,,,,,,,,
PSWP-BERA/USDT,binf,2025-02-06 23:01:29.936159000 +0800,1,,,,,,,,
PSWP-BERA/USDT,binf,2025-02-06 23:01:29.936159000 +0800,1,,,,,,,,
PSWP-BERA/USDT,kusw,2025-02-06 23:02:22.721674000 +0800,0.1,,,,,,,,
PSWP-BERA/USDT,kusw,2025-02-06 23:02:22.721674000 +0800,0.1,,,,,,,,
PSWP-BERA/USDT,kusw,2025-02-06 23:02:34.472653000 +0800,0.1,,,,,,,,
PSWP-BERA/USDT,kusw,2025-02-06 23:02:34.472653000 +0800,0.1,,,,,,,,
PSWP-BERA/USDT,binf,2025-02-06 23:37:02.151499000 +0800,1,,,,,,,,
PSWP-BERA/USDT,binf,2025-02-06 23:37:05.720313000 +0800,1,,,,,,,,
PSWP-BERA/USDT,gate,2025-02-06 23:37:24.993191000 +0800,1,,,,,,,,
PSWP-BERA/USDT,gate,2025-02-06 23:37:29.740726000 +0800,1,,,,,,,,
PSWP-BERA/USDT,byde,2025-02-07 00:01:59.567725000 +0800,1,,,,,,,,
PSWP-BERA/USDT,byde,2025-02-07 00:01:59.567725000 +0800,1,,,,,,,,
PSWP-BERA/USDT,kusw,2025-02-07 00:20:27.558832000 +0800,0.1,,,,,,,,
PSWP-BERA/USDT,kusw,2025-02-07 00:25:34.206339000 +0800,0.1,,,,,,,,
PSWP-BERA/USDT,gate,2025-02-07 03:13:30.622950000 +0800,1,,,,,,,,
PSWP-BERA/USDT,binf,2025-02-07 17:12:41.266193000 +0800,1,,,,,,,,
PSWP-AVAX/USDT,binf,2025-02-07 17:12:41.266193000 +0800,1,,,,,,,,
PSWP-BTC/USDT,binf,2025-02-07 17:12:41.266193000 +0800,1,,,,,,,,
PSWP-PIPPIN/USDT,binf,2025-02-07 17:12:41.266193000 +0800,1,,,,,,,,
PSWP-PIPPIN/USDT,binf,2025-02-09 03:41:03.817478000 +0800,1,,,,,,,,
PSWP-BTC/USDT,binf,2025-02-09 03:41:03.817478000 +0800,1,,,,,,,,
PSWP-BERA/USDT,binf,2025-02-09 03:41:03.817478000 +0800,1,,,,,,,,
PSWP-AVAX/USDT,binf,2025-02-09 03:41:03.817478000 +0800,1,,,,,,,,
PSWP-BERA/USDT,gate,2025-02-14 17:21:20.262695000 +0800,1,,,,,,,,
PSWP-AVAX/USDT,gate,2025-02-14 17:21:20.262695000 +0800,1,0,0,0,0,,0,0,
PSWP-BTC/USDT,gate,2025-02-14 17:21:20.262695000 +0800,0.0001,0,0,0,0,,0,0,
PSWP-PIPPIN/USDT,gate,2025-02-14 17:21:20.262695000 +0800,10,0,0,0,0,,0,0,
PSWP-KAITO/USDT,binf,2025-02-20 13:50:29.298544000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,binf,2025-02-20 13:51:14.951807000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,byde,2025-02-20 13:53:15.047939000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,byde,2025-02-20 13:53:33.581139000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,hype,2025-02-20 13:54:49.035793000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,hype,2025-02-20 13:54:58.703256000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,okex,2025-02-20 13:56:59.512872000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,okex,2025-02-20 13:57:29.018173000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,gate,2025-02-20 14:08:29.159998000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,gate,2025-02-20 14:10:57.853625000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,gate,2025-02-20 14:17:31.957737000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,byde,2025-02-20 14:17:31.957737000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,hype,2025-02-20 14:17:31.957737000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,binf,2025-02-20 14:17:31.957737000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,okex,2025-02-20 14:17:31.957737000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,okex,2025-02-20 14:18:04.626695000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,byde,2025-02-20 14:18:04.626695000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,binf,2025-02-20 14:18:04.626695000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,gate,2025-02-20 14:18:04.626695000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,hype,2025-02-20 14:18:04.626695000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,binf,2025-02-20 14:18:07.467831000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,gate,2025-02-20 14:18:07.467831000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,byde,2025-02-20 14:18:07.467831000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,hype,2025-02-20 14:18:07.467831000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,okex,2025-02-20 14:18:07.467831000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,okex,2025-02-20 14:18:30.586040000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,binf,2025-02-20 14:18:30.586040000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,hype,2025-02-20 14:18:30.586040000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,gate,2025-02-20 14:18:30.586040000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,byde,2025-02-20 14:18:30.586040000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,okex,2025-02-20 14:28:28.976909000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,okex,2025-02-20 14:32:53.104166000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,hype,2025-02-20 14:33:08.370663000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,binf,2025-02-20 14:33:08.370663000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,okex,2025-02-20 14:33:15.048501000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,byde,2025-02-20 14:33:53.152316000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,gate,2025-02-20 14:33:56.189501000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,okex,2025-02-20 14:33:56.189501000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,hype,2025-02-20 14:35:03.375056000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,byde,2025-02-20 14:35:03.375056000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,binf,2025-02-20 14:35:03.375056000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,okex,2025-02-20 14:36:53.428514000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,binf,2025-02-20 14:36:53.431833000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,byde,2025-02-20 14:36:54.078961000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,hype,2025-02-20 14:36:54.211300000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,gate,2025-02-20 14:36:54.215850000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,gate,2025-02-20 14:37:19.095285000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,okex,2025-02-20 14:37:19.095285000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,okex,2025-02-20 14:46:27.970812000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,hype,2025-02-20 14:59:36.574489000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,hype,2025-02-20 14:59:36.574489000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,binf,2025-02-20 15:00:43.236962000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,binf,2025-02-20 15:00:43.236962000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,gate,2025-02-20 16:45:02.679054000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,byde,2025-02-20 19:00:35.237581000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,byde,2025-02-20 19:00:35.237581000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,binf,2025-02-20 21:00:57.122082000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,binf,2025-02-20 21:00:57.122082000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,binf,2025-02-20 21:02:04.631019000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,gate,2025-02-20 21:02:05.707452000 +0800,1,0,0,0,0,,0,0,
PSWP-KAITO/USDT,binf,2025-02-20 21:02:39.879920000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,binf,2025-02-20 21:02:44.276411000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,binf,2025-02-20 21:02:46.354940000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,gate,2025-02-20 21:11:28.621477000 +0800,1,0,0,0,0,,0,0,
PSWP-KAITO/USDT,hype,2025-02-20 21:12:16.133665000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,hype,2025-02-20 21:12:16.133665000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,hype,2025-02-20 21:13:18.894804000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,okex,2025-02-20 21:15:19.959221000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,okex,2025-02-20 21:15:19.959221000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,okex,2025-02-20 21:15:55.899772000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,byde,2025-02-20 21:37:51.603173000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,byde,2025-02-20 21:37:51.603173000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,byde,2025-02-20 21:41:27.979754000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,okex,2025-02-20 22:00:16.564907000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,okex,2025-02-20 22:00:16.564907000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,okex,2025-02-20 22:00:48.993252000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,okex,2025-02-20 22:00:52.960947000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,okex,2025-02-20 22:00:52.960947000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,okex,2025-02-20 22:00:56.038106000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,kusw,2025-02-20 23:00:50.767407000 +0800,1.0,,,,,,,,
PSWP-KAITO/USDT,byde,2025-02-20 23:35:06.439393000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,byde,2025-02-20 23:35:06.439393000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,kusw,2025-02-21 10:55:27.959690000 +0800,1.0,,,,,,,,
PSWP-BERA/USDT,binf,2025-02-21 11:17:11.903684000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,byde,2025-02-21 11:18:04.161277000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,hype,2025-02-21 11:21:21.719744000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,hype,2025-02-21 11:21:35.699846000 +0800,1,,,,,,,,
PSWP-BERA/USDT,hype,2025-02-21 11:21:39.781303000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,kusw,2025-02-21 11:23:13.848094000 +0800,1.0,,,,,,,,
PSWP-PIPPIN/USDT,okex,2025-02-21 11:24:03.704169000 +0800,10,,,,,,,,
PSWP-KAITO/USDT,binf,2025-02-28 09:53:29.983274000 +0800,1,,,,,,,,
PSWP-PIPPIN/USDT,binf,2025-02-28 09:53:29.983274000 +0800,1,,,,,,,,
PSWP-PIPPIN/USDT,binf,2025-02-28 09:53:29.983274000 +0800,1,,,,,,,,
PSWP-BERA/USDT,binf,2025-02-28 09:53:29.983274000 +0800,1,,,,,,,,
PSWP-BTC/USDT,binf,2025-02-28 09:53:29.983274000 +0800,1,,,,,,,,
PSWP-AVAX/USDT,binf,2025-02-28 09:53:29.983274000 +0800,1,,,,,,,,
PSWP-BTC/USDT,binf,2025-02-28 09:53:29.983274000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,binf,2025-02-28 09:53:29.983274000 +0800,1,,,,,,,,
PSWP-BERA/USDT,binf,2025-02-28 09:53:29.983274000 +0800,1,,,,,,,,
PSWP-AVAX/USDT,binf,2025-02-28 09:53:29.983274000 +0800,1,,,,,,,,
PSWP-AVAX/USDT,byde,2025-02-28 09:53:30.152945000 +0800,1,480,,,,,,,
PSWP-PIPPIN/USDT,byde,2025-02-28 09:53:30.152945000 +0800,1,480,,,,,,,
PSWP-BERA/USDT,byde,2025-02-28 09:53:30.152945000 +0800,1,,,,,,,,
PSWP-BERA/USDT,byde,2025-02-28 09:53:30.152945000 +0800,1,,,,,,,,
PSWP-BTC/USDT,byde,2025-02-28 09:53:30.152945000 +0800,1,480,,,,,,,
PSWP-AVAX/USDT,byde,2025-02-28 09:53:30.152945000 +0800,1,480,,,,,,,
PSWP-PIPPIN/USDT,byde,2025-02-28 09:53:30.152945000 +0800,1,480,,,,,,,
PSWP-KAITO/USDT,byde,2025-02-28 09:53:30.152945000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,byde,2025-02-28 09:53:30.152945000 +0800,1,,,,,,,,
PSWP-BTC/USDT,byde,2025-02-28 09:53:30.152945000 +0800,1,480,,,,,,,
PSWP-AVAX/USDT,kusw,2025-02-28 09:53:31.436827000 +0800,0.1,,,,,,,,
PSWP-AVAX/USDT,kusw,2025-02-28 09:53:31.436827000 +0800,0.1,,,,,,,,
PSWP-KAITO/USDT,kusw,2025-02-28 09:53:31.436827000 +0800,1.0,,,,,,,,
PSWP-KAITO/USDT,kusw,2025-02-28 09:53:31.436827000 +0800,1.0,,,,,,,,
PSWP-BTC/USDT,kusw,2025-02-28 09:53:31.436827000 +0800,0.001,,,,,,,,
PSWP-BERA/USDT,kusw,2025-02-28 09:53:31.436827000 +0800,0.1,,,,,,,,
PSWP-BERA/USDT,kusw,2025-02-28 09:53:31.436827000 +0800,0.1,,,,,,,,
PSWP-BTC/USDT,kusw,2025-02-28 09:53:31.436827000 +0800,0.001,,,,,,,,
PSWP-BTC/USDT,okex,2025-02-28 09:53:38.996784000 +0800,0.01,,,,,,,,
PSWP-BTC/USDT,okex,2025-02-28 09:53:38.996784000 +0800,0.01,,,,,,,,
PSWP-PIPPIN/USDT,okex,2025-02-28 09:53:38.996784000 +0800,10,,,,,,,,
PSWP-KAITO/USDT,okex,2025-02-28 09:53:38.996784000 +0800,1,,,,,,,,
PSWP-AVAX/USDT,okex,2025-02-28 09:53:38.996784000 +0800,1,,,,,,,,
PSWP-KAITO/USDT,okex,2025-02-28 09:53:38.996784000 +0800,1,,,,,,,,
PSWP-PIPPIN/USDT,okex,2025-02-28 09:53:38.996784000 +0800,10,,,,,,,,
PSWP-BERA/USDT,okex,2025-02-28 09:53:38.996784000 +0800,0.1,,,,,,,,
